
> cotizador-e3@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.25.192.1:3000
- Environments: .env
✓ Ready in 327ms

 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 569ms (next.js: 199ms, proxy.ts: 30ms, application-code: 340ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 572ms (next.js: 155ms, proxy.ts: 30ms, application-code: 387ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 563ms (next.js: 205ms, proxy.ts: 40ms, application-code: 318ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 561ms (next.js: 226ms, proxy.ts: 38ms, application-code: 297ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 561ms (next.js: 248ms, proxy.ts: 38ms, application-code: 275ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 561ms (next.js: 267ms, proxy.ts: 37ms, application-code: 257ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 867ms (next.js: 147ms, proxy.ts: 26ms, application-code: 694ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 918ms (next.js: 114ms, proxy.ts: 26ms, application-code: 778ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 928ms (next.js: 173ms, proxy.ts: 25ms, application-code: 730ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1002ms (next.js: 196ms, proxy.ts: 27ms, application-code: 780ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1083ms (next.js: 221ms, proxy.ts: 27ms, application-code: 835ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1110ms (next.js: 296ms, proxy.ts: 44ms, application-code: 770ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1155ms (next.js: 344ms, proxy.ts: 34ms, application-code: 777ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1211ms (next.js: 391ms, proxy.ts: 32ms, application-code: 788ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1239ms (next.js: 481ms, proxy.ts: 36ms, application-code: 722ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1276ms (next.js: 531ms, proxy.ts: 33ms, application-code: 711ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1319ms (next.js: 643ms, proxy.ts: 31ms, application-code: 645ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1370ms (next.js: 570ms, proxy.ts: 32ms, application-code: 768ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 449ms (next.js: 191ms, proxy.ts: 190ms, application-code: 68ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 482ms (next.js: 214ms, proxy.ts: 189ms, application-code: 79ms)
 GET /sw.js 404 in 69ms (next.js: 15ms, proxy.ts: 3ms, application-code: 51ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 385ms (next.js: 13ms, proxy.ts: 4ms, application-code: 368ms)
 GET /sw.js 404 in 33ms (next.js: 5ms, proxy.ts: 4ms, application-code: 24ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 83ms (next.js: 10ms, proxy.ts: 3ms, application-code: 71ms)
 GET /sw.js 404 in 48ms (next.js: 5ms, proxy.ts: 5ms, application-code: 37ms)
 GET /api/export/pdf/cmq79547x00016wu65yh7vuv8 200 in 278ms (next.js: 46ms, proxy.ts: 3ms, application-code: 229ms)
 GET / 200 in 85ms (next.js: 26ms, proxy.ts: 3ms, application-code: 55ms)
 GET /cotizaciones 200 in 79ms (next.js: 28ms, proxy.ts: 3ms, application-code: 48ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 49ms (next.js: 10ms, proxy.ts: 3ms, application-code: 37ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 506ms (next.js: 444ms, proxy.ts: 3ms, application-code: 59ms)
 GET /sw.js 404 in 35ms (next.js: 4ms, proxy.ts: 3ms, application-code: 28ms)
 PUT /api/cotizaciones/cmq79547x00016wu65yh7vuv8 400 in 860ms (next.js: 844ms, proxy.ts: 4ms, application-code: 12ms)
 POST /api/export/pdf 200 in 262ms (next.js: 27ms, proxy.ts: 4ms, application-code: 231ms)
 GET /sw.js 404 in 51ms (next.js: 8ms, proxy.ts: 4ms, application-code: 39ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 430ms (next.js: 166ms, proxy.ts: 38ms, application-code: 225ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 211ms (next.js: 18ms, proxy.ts: 8ms, application-code: 185ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 503ms (next.js: 95ms, proxy.ts: 39ms, application-code: 370ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 253ms (next.js: 46ms, proxy.ts: 6ms, application-code: 201ms)
 GET /sw.js 404 in 61ms (next.js: 12ms, proxy.ts: 2ms, application-code: 46ms)
✓ Compiled in 70ms
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 394ms (next.js: 72ms, proxy.ts: 21ms, application-code: 301ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 377ms (next.js: 189ms, proxy.ts: 4ms, application-code: 184ms)
 GET /sw.js 404 in 75ms (next.js: 14ms, proxy.ts: 3ms, application-code: 58ms)
 POST /api/export/pdf 200 in 275ms (next.js: 25ms, proxy.ts: 4ms, application-code: 246ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 345ms (next.js: 10ms, proxy.ts: 3ms, application-code: 332ms)
 POST /api/export/pdf 200 in 282ms (next.js: 3ms, proxy.ts: 5ms, application-code: 273ms)
